,binomial,common_name,CI
0,Syncerus caffer,African Buffalo,398000-401000
1,Lama guanicoe,Guanaco,1000000-1500000
2,Equus quagga,"Plains Zebra, Burchell's Zebra, Common Zebra, Painted Zebra",150000-250000
3,Hippopotamus amphibius,"Hippopotamus, Common Hippopotamus, Large Hippo",115000-130000
4,Tragelaphus strepsiceros,Greater Kudu,300000-350000
5,Kobus kob,Kob,500000-1000000
6,Antidorcas marsupialis,Springbok,2000000-2500000
7,Tragelaphus oryx,"Common Eland, Eland",90000-110000
8,Ovibos moschatus,"Muskox, Musk Ox",133914-136914
9,Tragelaphus scriptus,Bushbuck,1000000-1500000
10,Capra sibirica,"Siberian Ibex, Asiatic Ibex, Himalayan Ibex",234153-255153
11,Procapra gutturosa,"Mongolian Gazelle, Dzeren",500000-1500000
12,Equus kiang,Kiang,60000-70000
13,Boselaphus tragocamelus,"Nilgai, Bluebuck",70000-100000
14,Lynx rufus,"Bobcat, Bay Lynx",2352276-3571681
15,Bison bison,American Bison,11248-13123
16,Hippotragus equinus,Roan Antelope,50000-60000
17,Damaliscus pygargus,"Blesbok, Bontebok",238500-243500
18,Pan troglodytes,"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",345000-470000
19,Bos gaurus,"Gaur, Indian Bison",6000-21000
