,binomial,common_name,biomass_Mt_round,pop_millions
0,Odocoileus virginianus,"White-tailed Deer, Key Deer, Key Deer Toy Deer",2.7,45.0
1,Sus scrofa,Wild boar,1.9,29.4
2,Loxodonta africana,African savanna Elephant,1.3,0.4
3,Macropus giganteus,Eastern Grey Kangaroo,0.6,22.0
4,Odocoileus hemionus,"Mule Deer, Black-tailed Deer, Cedros Island Black-tailed Deer, Cedros Island Mule Deer",0.5,7.5
5,Alces alces,"Moose, Elk, Eurasian Elk, Eurasian Moose, European Elk, Siberian Elk",0.5,1.3
6,Cervus elaphus,"Red Deer, Western Red Deer",0.5,2.4
7,Capreolus capreolus,"European Roe Deer, European Roe, Roe Deer, Western Roe Deer",0.4,22.5
8,Macropus rufus,Red Kangaroo,0.4,12.0
9,Phacochoerus africanus,"Common Warthog, Eritrean Warthog, Warthog",0.3,4.8
