,Binomial,Common names (Eng),biomass_Mt,population_millions
15,Balaenoptera physalus,"Fin Whale, Common Rorqual, Finback, Fin-backed Whale, Finner, Herring Whale, Razorback",8.0,0.145
94,Physeter macrocephalus,"Sperm Whale, Cachelot, Pot Whale, Spermacet Whale",6.7,0.36
57,Megaptera novaeangliae,"Humpback Whale, Bunch, Hump Whale, Hunchbacked Whale",4.1,0.13499999999999998
10,Balaenoptera bonaerensis,Antarctic Minke Whale,3.4,0.515
9,Balaenoptera acutorostrata,"Common Minke Whale, Dwarf Minke Whale, Lesser Rorqual, Little Piked Whale, Minke Whale",3.2,0.5
13,Balaenoptera musculus,Blue Whale,1.8,0.017499999999999998
56,Lobodon carcinophaga,Crabeater Seal,1.6,8.0
12,Balaenoptera edeni,"Bryde's Whale, Eden's Whale, Tropical Whale",1.3,0.08
84,Pagophilus groenlandicus,"Harp Seal, Greenland Seal",0.8,9.0
11,Balaenoptera borealis,Sei Whale,0.8,0.049999999999999996
