"","Biome","Bacterivores (Mt C)","Fungivores (Mt C)","Herbivores (Mt C)","Omnivores (Mt C)","Predators (Mt C)","Total biomass (Mt C)"
"1","Tropical Moist Forests","0.74500","0.08500","0.78400"," 1.37200","0.71900"," 3.70500"
"2","Tropical Dry Forest","0.11700","0.01400","0.13900"," 0.17600","0.07400"," 0.51900"
"3","Tropical Coniferous Forests","0.03600","0.00500","0.03700"," 0.07600","0.04100"," 0.19400"
"4","Temperate Broadleaf Forests","0.90400","0.13100","0.94400"," 1.54100","0.55200"," 4.07200"
"5","Temperate Conifer Forests","0.26500","0.05700","0.30400"," 0.54600","0.23200"," 1.40400"
"6","Boreal Forests","1.81500","0.27000","2.23500"," 2.11600","0.71000"," 7.14600"
"7","Tropical Grasslands","0.48900","0.07800","0.87400"," 0.86600","0.32300"," 2.63000"
"8","Temperate Grasslands","0.61900","0.07500","0.67500"," 0.71000","0.21400"," 2.29200"
"9","Flooded Grasslands","0.03500","0.00500","0.05000"," 0.05800","0.02400"," 0.17200"
"10","Montane Grasslands","0.27300","0.04800","0.33700"," 0.58000","0.25200"," 1.49000"
"11","Tundra","1.03700","0.12300","1.27700"," 1.12000","0.44800"," 4.00600"
"12","Mediterranean Forests","0.10200","0.01500","0.11600"," 0.16200","0.06900"," 0.46500"
"13","Deserts","0.67800","0.08600","0.88800"," 0.89200","0.72400"," 3.26700"
"14","Mangroves","0.01500","0.00200","0.01400"," 0.03000","0.01500"," 0.07600"
"15","Total","7.13100","0.99400","8.67500","10.24400","4.39500","31.43900"
