"","Biome","Bacterivores - fraction of total","Fungivores - fraction of total","Herbivores - fraction of total","Omnivores - fraction of total","Predators - fraction of total","Across trophic groups - fraction of total biomass"
"1","Tropical Moist Forests","0.201","0.023","0.212","0.370","0.194","0.118"
"2","Tropical Dry Forest","0.225","0.026","0.269","0.338","0.142","0.017"
"3","Tropical Coniferous Forests","0.184","0.025","0.192","0.390","0.209","0.006"
"4","Temperate Broadleaf Forests","0.222","0.032","0.232","0.379","0.136","0.130"
"5","Temperate Conifer Forests","0.189","0.041","0.217","0.389","0.165","0.045"
"6","Boreal Forests","0.254","0.038","0.313","0.296","0.099","0.227"
"7","Tropical Grasslands","0.186","0.030","0.333","0.329","0.123","0.084"
"8","Temperate Grasslands","0.270","0.033","0.294","0.310","0.093","0.073"
"9","Flooded Grasslands","0.206","0.030","0.290","0.337","0.137","0.005"
"10","Montane Grasslands","0.183","0.032","0.226","0.389","0.169","0.047"
"11","Tundra","0.259","0.031","0.319","0.280","0.112","0.127"
"12","Mediterranean Forests","0.220","0.033","0.249","0.349","0.149","0.015"
"13","Deserts","0.208","0.026","0.272","0.273","0.222","0.104"
"14","Mangroves","0.198","0.026","0.185","0.399","0.193","0.002"
"15","Total","0.227","0.032","0.276","0.326","0.140","1.000"
